status,list,section,supplementary,ordinal,printed_ordinal,author,title,year,work_id,score,entry
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","B. Haunting, Archives, and Embodied Memory",False,4,11,"Stoler, Ann Laura",Along the Archival Grain: Epistemic Anxieties and Colonial Common Sense,2009,stoler-along-the-archival-grain-epistemic-2009,1.0,"Stoler, Ann Laura. Along the Archival Grain: Epistemic Anxieties and Colonial Common Sense. Princeton University Press, 2009."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","B. Haunting, Archives, and Embodied Memory",False,5,12,"Taylor, Diana",The Archive and the Repertoire: Performing Cultural Memory in the Americas,2003,taylor-the-archive-and-the-repertoire-2003,1.0,"Taylor, Diana. The Archive and the Repertoire: Performing Cultural Memory in the Americas. Duke University Press, 2003."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","C. Coloniality, Possession, and Racial Geographies",False,1,13,"Adorno, Rolena",The Polemics of Possession in Spanish American Narrative,2007,adorno-the-polemics-of-possession-in-2007,1.0,"Adorno, Rolena. The Polemics of Possession in Spanish American Narrative. Yale University Press, 2007."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","C. Coloniality, Possession, and Racial Geographies",False,2,14,"Gerhard, Peter",La frontera norte de la Nueva España,1996,gerhard-la-frontera-norte-de-la-1996,1.0,"Gerhard, Peter. La frontera norte de la Nueva España. Traducción de Patricia Escandón Bolaños, mapas de Bruce Campbell, Universidad Nacional Autónoma de México, 1996."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","C. Coloniality, Possession, and Racial Geographies",False,3,15,"Gómez-Barris, Macarena",The Extractive Zone: Social Ecologies and Decolonial Perspectives,2017,gomez-barris-the-extractive-zone-social-ecologies-2017,1.0,"Gómez-Barris, Macarena. The Extractive Zone: Social Ecologies and Decolonial Perspectives. Duke University Press, 2017."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","C. Coloniality, Possession, and Racial Geographies",False,4,16,"Jáuregui, Carlos A",Espectros y conjuras: asedios a la cuestión colonial,2020,jauregui-espectros-y-conjuras-asedios-a-2020,1.0,"Jáuregui, Carlos A. Espectros y conjuras: asedios a la cuestión colonial. Iberoamericana / Vervuert, 2020."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","C. Coloniality, Possession, and Racial Geographies",False,5,17,"Saldaña-Portillo, María Josefina",Indian Given: Racial Geographies across Mexico and the United States,2016,saldana-portillo-indian-given-racial-geographies-across-2016,1.0,"Saldaña-Portillo, María Josefina. Indian Given: Racial Geographies across Mexico and the United States. Duke University Press, 2016."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","C. Coloniality, Possession, and Racial Geographies",False,6,18,"Taussig, Michael","Shamanism, Colonialism, and the Wild Man: A Study in Terror and Healing",1987,taussig-shamanism-colonialism-and-the-wild-1987,1.0,"Taussig, Michael. Shamanism, Colonialism, and the Wild Man: A Study in Terror and Healing. University of Chicago Press, 1987."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",False,1,19,"Anzaldúa, Gloria",Borderlands / La Frontera: The New Mestiza,1987,anzaldua-borderlands-la-frontera-the-new-1987,1.0,"Anzaldúa, Gloria. Borderlands / La Frontera: The New Mestiza. Aunt Lute Books, 1987."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",False,2,20,"Castillo, Ana",Massacre of the Dreamers: Essays on Xicanisma,1994,castillo-massacre-of-the-dreamers-essays-1994,1.0,"Castillo, Ana. Massacre of the Dreamers: Essays on Xicanisma. University of New Mexico Press, 1994."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",False,3,21,"Delgado, Vivian","You’re Not Indian, You’re Mexican",2007,delgado-you-re-not-indian-you-2007,1.0,"Delgado, Vivian. You’re Not Indian, You’re Mexican. Turtle Island Press, 2007."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",False,4,22,"Gonzales, Patrisia",Red Medicine: Traditional Indigenous Rites of Birthing and Healing,2012,gonzales-red-medicine-traditional-indigenous-rite-2012,1.0,"Gonzales, Patrisia. Red Medicine: Traditional Indigenous Rites of Birthing and Healing. University of Arizona Press, 2012."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",False,5,23,"León, Luis D","La Llorona’s Children: Religion, Life, and Death in the U.S.–Mexican Borderlands",2004,leon-la-llorona-s-children-religion-2004,1.0,"León, Luis D. La Llorona’s Children: Religion, Life, and Death in the U.S.–Mexican Borderlands. University of California Press, 2004."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",False,6,24,"Koshatka Seman, Jennifer",Border Curanderos,2021,seman-border-curanderos-2021,1.0,"Koshatka Seman, Jennifer. Border Curanderos. University of Texas Press, 2021."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","E. Indigenous Studies: Sovereignty, Refusal, and Temporality",False,1,25,"Simpson, Audra",Mohawk Interruptus: Political Life across the Borders of Settler States,2014,simpson-mohawk-interruptus-political-life-across-2014,1.0,"Simpson, Audra. Mohawk Interruptus: Political Life across the Borders of Settler States. Duke University Press, 2014."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","E. Indigenous Studies: Sovereignty, Refusal, and Temporality",False,2,26,"Schaeffer, Felicity Amaya",Unsettled Borders: The Militarized Science of Surveillance on Sacred Indigenous Land,2022,schaeffer-unsettled-borders-the-militarized-scienc-2022,1.0,"Schaeffer, Felicity Amaya. Unsettled Borders: The Militarized Science of Surveillance on Sacred Indigenous Land. Duke University Press, 2022."
supplementary,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY",Supplementary,True,1,1,"Segato, Rita Laura",La crítica de la colonialidad en ocho ensayos: y una antropología por demanda,2021,segato-la-critica-de-la-colonialidad-2021,1.0,"Segato, Rita Laura. La crítica de la colonialidad en ocho ensayos: y una antropología por demanda. Prometeo Libros, 2021."
supplementary,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY",Supplementary,True,2,2,"Rifkin, Mark",Beyond Settler Time: Temporal Sovereignty and Indigenous Self- Determination,2017,rifkin-beyond-settler-time-temporal-sovereignty-2017,1.0,"Rifkin, Mark. Beyond Settler Time: Temporal Sovereignty and Indigenous Self- Determination. Duke University Press, 2017."
supplementary,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY",Supplementary,True,3,3,"Cornejo Polar, Antonio",Escribir en el aire: ensayo sobre la heterogeneidad socio- cultural en las literaturas andinas,1994,cornejo-polar-escribir-en-el-aire-ensayo-1994,1.0,"Cornejo Polar, Antonio. Escribir en el aire: ensayo sobre la heterogeneidad socio- cultural en las literaturas andinas. Horizonte, 1994."
supplementary,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY",Supplementary,True,4,4,"Jelin, Elizabeth",Los trabajos de la memoria,2002,jelin-los-trabajos-de-la-memoria-2002,1.0,"Jelin, Elizabeth. Los trabajos de la memoria. Siglo XXI Editores, 2002."
supplementary,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY",Supplementary,True,5,5,"Fong, Timothy P",Ethnic Studies Research: Approaches and Perspectives,2008,fong-ethnic-studies-research-approaches-and-2008,1.0,"Fong, Timothy P., editor. Ethnic Studies Research: Approaches and Perspectives. AltaMira Press, 2008."
supplementary,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY",Supplementary,True,6,6,"Sanjek, Roger, editor",Fieldnotes: The Makings of Anthropology,1990,sanjek-fieldnotes-the-makings-of-anthropology-1990,1.0,"Sanjek, Roger, editor. Fieldnotes: The Makings of Anthropology. Cornell University Press, 1990. AND HAUNTOLOGY IN THE U.S.–MEXICO BORDERLANDS"
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","A. Colonial Narratives, Inquisitorial Archives, and Territorial Formation",False,1,1,"Cabeza de Vaca, Álvar Núñez",Naufragios,1989,cabeza-de-vaca-naufragios-1989,1.0,"Cabeza de Vaca, Álvar Núñez. Naufragios. Edición de Juan Francisco Maura, Cátedra, 1989."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","A. Colonial Narratives, Inquisitorial Archives, and Territorial Formation",False,2,2,"Villagrá, Gaspar Pérez de",Historia de la Nueva México,2010,villagra-historia-de-la-nueva-mexico-2010,1.0,"Villagrá, Gaspar Pérez de. Historia de la Nueva México. Edición de Manuel M. Martín Rodríguez, Instituto Franklin / Universidad de Alcalá, 2010."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","A. Colonial Narratives, Inquisitorial Archives, and Territorial Formation",False,3,3,"Flores, Enrique, y Mariana Masera, coordinadores","Relatos populares de la Inquisición novohispana: rito, magia y otras “supersticiones,” siglos XVII–XVIII",2010,flores-relatos-populares-de-la-inquisicion-2010,1.0,"Flores, Enrique, y Mariana Masera, coordinadores. Relatos populares de la Inquisición novohispana: rito, magia y otras “supersticiones,” siglos XVII–XVIII. Consejo Superior de Investigaciones Científicas / Universidad Nacional Autónoma de México, 2010."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","A. Colonial Narratives, Inquisitorial Archives, and Territorial Formation",False,4,4,"Ebright, Malcolm, y Rick Hendricks","The Witches of Abiquiu: The Governor, the Priest, the Genízaro Indians, and the Devil",2006,ebright-the-witches-of-abiquiu-the-2006,1.0,"Ebright, Malcolm, y Rick Hendricks. The Witches of Abiquiu: The Governor, the Priest, the Genízaro Indians, and the Devil. University of New Mexico Press, 2006."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","B. Oral Tradition, Regional Language, and Folklore Collection",False,1,5,"Espinosa, Aurelio M",The Folklore of Spain in the American Southwest: Traditional Spanish Folk Literature in Northern New Mexico and Southern Colorado,1985,espinosa-the-folklore-of-spain-in-1985,1.0,"Espinosa, Aurelio M. The Folklore of Spain in the American Southwest: Traditional Spanish Folk Literature in Northern New Mexico and Southern Colorado. Edición de J. Manuel Espinosa, University of Oklahoma Press, 1985."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","B. Oral Tradition, Regional Language, and Folklore Collection",False,2,6,"Espinosa, J","Manuel, recopilador",1998,espinosa-cuentos-de-cuanto-hay-tales-1998,0.57,"Espinosa, J. Manuel, recopilador. Cuentos de cuanto hay / Tales from Spanish New Mexico. Edición y traducción de Joe Hayes, ilustraciones de William Rotsaert, University of New Mexico Press, 1998."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","B. Oral Tradition, Regional Language, and Folklore Collection",False,3,7,"Griego y Maestas, José, y Rudolfo A","Anaya, editores",1980,griego-y-maestas-cuentos-tales-from-the-hispanic-1980,0.95,"Griego y Maestas, José, y Rudolfo A. Anaya, editores. Cuentos: Tales from the Hispanic Southwest. Museum of New Mexico Press, 1980."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","B. Oral Tradition, Regional Language, and Folklore Collection",False,4,8,"Pijoan de Van Etten, Teresa",Spanish-American Folktales: The Practical Wisdom of Spanish-Americans in 28 Eloquent and Simple Stories,1990,pijoan-de-van-etten-spanish-american-folktales-the-practical-1990,1.0,"Pijoan de Van Etten, Teresa. Spanish-American Folktales: The Practical Wisdom of Spanish-Americans in 28 Eloquent and Simple Stories. August House, 1990."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","B. Oral Tradition, Regional Language, and Folklore Collection",False,5,9,"Rael, Juan B",Cuentos españoles de Colorado y Nuevo México / Spanish Folk Tales from Colorado and New Mexico,1977,rael-cuentos-espanoles-de-colorado-y-1977,1.0,"Rael, Juan B., recopilador. Cuentos españoles de Colorado y Nuevo México / Spanish Folk Tales from Colorado and New Mexico. Museum of New Mexico Press, 1977. 2 vols."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","B. Oral Tradition, Regional Language, and Folklore Collection",False,6,10,"Rebolledo, Tey Diana, y María Teresa Márquez, editoras",Women’s Tales from the New Mexico WPA: La diabla a pie,2000,rebolledo-women-s-tales-from-the-2000,1.0,"Rebolledo, Tey Diana, y María Teresa Márquez, editoras. Women’s Tales from the New Mexico WPA: La diabla a pie. Arte Público Press, 2000."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","B. Oral Tradition, Regional Language, and Folklore Collection",False,7,11,"Vigil, Ángel, recopilador",The Corn Woman: Stories and Legends of the Hispanic Southwest,1994,vigil-the-corn-woman-stories-and-1994,1.0,"Vigil, Ángel, recopilador. The Corn Woman: Stories and Legends of the Hispanic Southwest. Traducción de Jennifer Audrey Lowell, Libraries Unlimited, 1994."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","C. Witchcraft, Healing, and Supernatural Encounters",False,1,12,"Delgado, Edmundo R",Witch Stories of New Mexico: Folklore of New Spain / Cuentos de brujas de Nuevo México: folklore de la Nueva España,1994,delgado-witch-stories-of-new-mexico-1994,1.0,"Delgado, Edmundo R., editor. Witch Stories of New Mexico: Folklore of New Spain / Cuentos de brujas de Nuevo México: folklore de la Nueva España. E. R. Delgado, 1994."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","C. Witchcraft, Healing, and Supernatural Encounters",False,2,13,"García, Nasario, recopilador","Brujas, bultos, y brasas: Tales of Witchcraft and the Supernatural in the Pecos Valley",1999,garcia-brujas-bultos-y-brasas-tales-1999,1.0,"García, Nasario, recopilador. Brujas, bultos, y brasas: Tales of Witchcraft and the Supernatural in the Pecos Valley. Western Edge Press, 1999."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","C. Witchcraft, Healing, and Supernatural Encounters",False,3,14,"García, Nasario",Brujerías: Stories of Witchcraft and the Supernatural in the American Southwest and Beyond,2007,garcia-brujerias-stories-of-witchcraft-and-2007,1.0,"García, Nasario. Brujerías: Stories of Witchcraft and the Supernatural in the American Southwest and Beyond. Texas Tech University Press, 2007."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","C. Witchcraft, Healing, and Supernatural Encounters",False,4,15,"Kraul, Edward Garcia, y Judith Beatty",The Weeping Woman: Encounters with La Llorona,1988,kraul-the-weeping-woman-encounters-with-1988,1.0,"Kraul, Edward Garcia, y Judith Beatty. The Weeping Woman: Encounters with La Llorona. Word Process, 1988."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,",D. Literary Reworkings and Comparative Indigenous Horror,False,1,16,Antonio R,American Indian Ghost Stories of the West,2003,garcez-american-indian-ghost-stories-of-2003,0.96,"Antonio R. American Indian Ghost Stories of the West. Red Rabbit Press, 2003."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,",D. Literary Reworkings and Comparative Indigenous Horror,False,2,17,"Sagel, Jim",Hablando de brujas y la gente de antes: poemas del Río Chama,1981,sagel-hablando-de-brujas-y-la-1981,1.0,"Sagel, Jim. Hablando de brujas y la gente de antes: poemas del Río Chama. Introducción de John Nichols, Place of Herons Press, 1981."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","E. Hauntology, Spectrality, and Historical Temporality",False,1,18,"Abudu, KJ, editor",Living with Ghosts: A Reader,2022,abudu-living-with-ghosts-a-reader-2022,1.0,"Abudu, KJ, editor. Living with Ghosts: A Reader. Pace Publishing, 2022."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","E. Hauntology, Spectrality, and Historical Temporality",False,2,19,"Derrida, Jacques","Specters of Marx: The State of the Debt, the Work of Mourning, and the New International",1994,derrida-specters-of-marx-the-state-1994,1.0,"Derrida, Jacques. Specters of Marx: The State of the Debt, the Work of Mourning, and the New International. Traducción de Peggy Kamuf, Routledge, 1994."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","E. Hauntology, Spectrality, and Historical Temporality",False,3,20,"Weinstock, Jeffrey Andrew, editor",Spectral America: Phantoms and the National Imagination,2004,weinstock-spectral-america-phantoms-and-the-2004,1.0,"Weinstock, Jeffrey Andrew, editor. Spectral America: Phantoms and the National Imagination. University of Wisconsin Press, 2004."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","E. Hauntology, Spectrality, and Historical Temporality",False,4,21,"Fisher, Mark",The Weird and the Eerie,2017,fisher-the-weird-and-the-eerie-2017,1.0,"Fisher, Mark. The Weird and the Eerie. Repeater Books, 2017. Magical Realism"
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","F. Haunting as Aesthetic and Narrative Experience: The Fantastic, the Gothic, and",False,1,22,"Keetley, Dawn, y Ruth Heholt, editoras",Folk Horror: New Global Pathways,2023,keetley-folk-horror-new-global-pathways-2023,1.0,"Keetley, Dawn, y Ruth Heholt, editoras. Folk Horror: New Global Pathways. University of Wales Press, 2023."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","F. Haunting as Aesthetic and Narrative Experience: The Fantastic, the Gothic, and",False,2,23,"Todorov, Tzvetan",The Fantastic: A Structural Approach to a Literary Genre,1975,todorov-the-fantastic-a-structural-approach-1975,1.0,"Todorov, Tzvetan. The Fantastic: A Structural Approach to a Literary Genre. Traducción de Richard Howard, Cornell University Press, 1975."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","F. Haunting as Aesthetic and Narrative Experience: The Fantastic, the Gothic, and",False,3,24,"Walter, Roland",Magical Realism in Contemporary Chicano Fiction,1993,walter-magical-realism-in-contemporary-chicano-1993,1.0,"Walter, Roland. Magical Realism in Contemporary Chicano Fiction. Vervuert, 1993."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","G. Chicana Spatial Criticism, Borderlands, and Hemispheric Haunting",False,1,25,"Blanco, María del Pilar","Ghost-Watching American Modernity: Haunting, Landscape, and the Hemispheric Imagination",2012,blanco-ghost-watching-american-modernity-haunti-2012,1.0,"Blanco, María del Pilar. Ghost-Watching American Modernity: Haunting, Landscape, and the Hemispheric Imagination. Fordham University Press, 2012."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","G. Chicana Spatial Criticism, Borderlands, and Hemispheric Haunting",False,2,26,"Brady, Mary Pat","Extinct Lands, Temporal Geographies: Chicana Literature and the Urgency of Space",2002,brady-extinct-lands-temporal-geographies-chica-2002,1.0,"Brady, Mary Pat. Extinct Lands, Temporal Geographies: Chicana Literature and the Urgency of Space. Duke University Press, 2002."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","G. Chicana Spatial Criticism, Borderlands, and Hemispheric Haunting",False,3,27,"Perez, Domino Renee",There Was a Woman: La Llorona from Folklore to Popular Culture,2008,perez-there-was-a-woman-la-2008,1.0,"Perez, Domino Renee. There Was a Woman: La Llorona from Folklore to Popular Culture. University of Texas Press, 2008."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","H. Archival Criticism, Documents, and Media",False,1,28,"Bolaños, Álvaro Félix, y Gustavo Verdesio, editores",Colonialism Past and Present: Reading and Writing about Colonial Latin America Today,2002,bolanos-colonialism-past-and-present-reading-2002,1.0,"Bolaños, Álvaro Félix, y Gustavo Verdesio, editores. Colonialism Past and Present: Reading and Writing about Colonial Latin America Today. State University of New York Press, 2002."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,","H. Archival Criticism, Documents, and Media",False,2,29,"Moraña, Mabel, Enrique Dussel, y Carlos A","Jáuregui, editores",2008,morana-coloniality-at-large-latin-america-2008,0.9,"Moraña, Mabel, Enrique Dussel, y Carlos A. Jáuregui, editores. Coloniality at Large: Latin America and the Postcolonial Debate. Duke University Press, 2008."
matched,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,",I. Nuevomexicano Cultural History and Genízaro Identity,False,1,30,"Gonzales, Moises, y Enrique R","Lamadrid, editores",2019,gonzales-nacion-genizara-ethnogenesis-place-and-2019,0.75,"Gonzales, Moises, y Enrique R. Lamadrid, editores. Nación Genízara: Ethnogenesis, Place, and Identity in New Mexico. University of New Mexico Press, 2019."
supplementary,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,",Supplementary,True,1,1,"Padilla, Genaro M","My History, Not Yours: The Formation of Mexican American Autobiography",1993,padilla-my-history-not-yours-the-1993,1.0,"Padilla, Genaro M. My History, Not Yours: The Formation of Mexican American Autobiography. University of Wisconsin Press, 1993."
supplementary,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,",Supplementary,True,2,2,"Briggs, Charles L",Competence in Performance: The Creativity of Tradition in Mexicano Verbal Art,1988,briggs-competence-in-performance-the-creativity-1988,1.0,"Briggs, Charles L. Competence in Performance: The Creativity of Tradition in Mexicano Verbal Art. University of Pennsylvania Press, 1988."
supplementary,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,",Supplementary,True,3,3,"Rama, Ángel",La ciudad letrada,1984,rama-la-ciudad-letrada-1984,1.0,"Rama, Ángel. La ciudad letrada. Ediciones del Norte, 1984."
supplementary,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,",Supplementary,True,4,4,"Cobos, Rubén",A Dictionary of New Mexico and Southern Colorado Spanish,2003,cobos-a-dictionary-of-new-mexico-2003,1.0,"Cobos, Rubén. A Dictionary of New Mexico and Southern Colorado Spanish. 2.ª ed., Museum of New Mexico Press, 2003."
supplementary,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,",Supplementary,True,5,5,"Gitelman, Lisa",Paper Knowledge: Toward a Media History of Documents,2014,gitelman-paper-knowledge-toward-a-media-2014,1.0,"Gitelman, Lisa. Paper Knowledge: Toward a Media History of Documents. Duke University Press, 2014."
supplementary,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,",Supplementary,True,6,6,"Burns, Kathryn",Into the Archive: Writing and Power in Colonial Peru,2010,burns-into-the-archive-writing-and-2010,1.0,"Burns, Kathryn. Into the Archive: Writing and Power in Colonial Peru. Duke University Press, 2010."
supplementary,"II. DISSERTATION: COLONIAL ARCHIVES, ORAL TRADITIONS, HAUNTING,",Supplementary,True,7,7,"Brady, Mary Pat",Scales of Captivity: Racial Capitalism and the Latinx Child,2022,brady-scales-of-captivity-racial-capitalism-2022,1.0,"Brady, Mary Pat. Scales of Captivity: Racial Capitalism and the Latinx Child. Duke University Press, 2022."
