match,work_id,note
The Folklore of Spain in the American Southwest,espinosa-the-folklore-of-spain-in-1985,
Cuentos de Cuanto Hay,espinosa-cuentos-de-cuanto-hay-tales-1998,
The Weeping woman,kraul-the-weeping-woman-encounters-with-1988,
The Weird and the Eerie,fisher-the-weird-and-the-eerie-2017,
Magical Realism in Contemporary Chicano Fiction,walter-magical-realism-in-contemporary-chicano-1993,
Ghost-Watching American Modernity,blanco-ghost-watching-american-modernity-haunti-2012,
Extinct Lands,brady-extinct-lands-temporal-geographies-chica-2002,
There Was a Woman,perez-there-was-a-woman-la-2008,
Colonialism past and present,bolanos-colonialism-past-and-present-reading-2002,
Coloniality at Large,morana-coloniality-at-large-latin-america-2008,
Nación Ǵenízara,gonzales-nacion-genizara-ethnogenesis-place-and-2019,
# III. TEACHING
Los niños perdidos,luiselli-los-ninos-perdidos-un-ensayo-2016,ePub conversion — searchable, no printed pagination
Postcolonial Love Poem,diaz-postcolonial-love-poem-2020,
"Irma Pineda, Nostalgia",pineda-nostalgia-doesn-t-flow-away-2024,ePub conversion — searchable, no printed pagination
A Xicana Codex of Changing Consciousness,moraga-a-xicana-codex-of-changing-2011,
Woman Hollering Creek,cisneros-woman-hollering-creek-and-other-1991,
El Periquillo Sarniento,fernandez-de-lizardi-el-periquillo-sarniento-1816,
Tomochic,frias-tomochic-1893,
Los de abajo,azuela-los-de-abajo-1915,
La Raza Cósmica,vasconcelos-la-raza-cosmica-1925,
Cartucho,campobello-cartucho-1931,
El luto humano,revueltas-el-luto-humano-1943,ePub conversion — searchable, no printed pagination
la muerte de artemio cruz,fuentes-la-muerte-de-artemio-cruz-1962,
Crónicas diabólicas,arce-cronicas-diabolicas-1916-1926-1982,
Las Aventuras de Don Chipote,venegas-las-aventuras-de-don-chipote-1928,
With His Pistol in His Hand,paredes-with-his-pistol-in-his-1958,
I am Joaquín,gonzales-yo-soy-joaquin-1967,
y no se lo tragó la tierra,rivera-y-no-se-lo-trago-1996,
Palabras de mediodía,corpi-palabras-de-mediodia-noon-words-1980,
Por el amor de Pedro Infante,chavez-loving-pedro-infante-2001,
Sabrina & Corina,fajardo-anstine-sabrina-corina-stories-2019,
Cajas de cartón,jimenez-cajas-de-carton-2002,
From the Other Side of Night,alarcon-from-the-other-side-of-2002,
Pedro Páramo ; y El llano en llamas,rulfo-el-llano-en-llamas-1955,"one file holds both novels; Pedro Páramo points at the same file and is extracted separately"
Pedro Páramo ; y El llano en llamas,rulfo-pedro-paramo-1955,"same file as El llano en llamas — the volume contains both"
"Bless me, Ultima",anaya-bless-me-ultima-1972,
Prie tita and the ghost woman,anzaldua-prietita-and-the-ghost-woman-1995,
Eat the Mouth that Feeds You,fragoza-eat-the-mouth-that-feeds-2021,
Cuentos reunidos,davila-cuentos-reunidos,ePub conversion — searchable, no printed pagination
